english,vietnamese_literal,vietnamese_rewrite
Gradient descent is an optimization algorithm used to minimize some function.,Gradient descent là một thuật toán tối ưu hóa được sử dụng để giảm thiểu một số chức năng.,Thuật toán xuống dốc (Gradient descent) là phương pháp tối ưu hóa giúp tìm điểm thấp nhất (cực tiểu) của một hàm số.
The backpropagation algorithm calculates the gradient of the loss function with respect to the weights.,Thuật toán lan truyền ngược tính toán độ dốc của hàm mất mát liên quan đến trọng lượng.,Thuật toán lan truyền ngược (Backpropagation) tính toán đạo hàm của hàm sai số theo từng trọng số để cập nhật mạng.
Overfitting happens when the model learns the noise in the training data.,Quá khớp xảy ra khi mô hình học tiếng ồn trong dữ liệu đào tạo.,Hiện tượng học vẹt (Overfitting) xảy ra khi mô hình ghi nhớ cả những chi tiết thừa (nhiễu) trong dữ liệu học thay vì học quy luật chung.
The learning rate is a hyperparameter that controls how much to change the model in response to the estimated error.,Tốc độ học tập là một tham số kiểm soát lượng thay đổi mô hình để phản ứng với lỗi ước tính.,Tốc độ học (Learning rate) là tham số thiết lập trước để kiểm soát độ lớn của bước cập nhật trọng số sau mỗi lần tính sai số.
Each layer in a deep neural network learns features at different levels of abstraction.,Mỗi lớp trong một mạng nơ-ron sâu học các tính năng ở các cấp độ trừu tượng khác nhau.,Mỗi lớp trong mạng nơ-ron học sâu sẽ nhận diện các đặc trưng của dữ liệu ở các mức độ khái quát khác nhau.
A loss function measures how well a machine learning model fits the training data.,Một chức năng mất mát đo lường mức độ tốt một mô hình học tập máy phù hợp với dữ liệu đào tạo.,Hàm sai số (Loss function) đo lường xem mô hình học máy dự đoán lệch bao nhiêu so với thực tế của dữ liệu học.
Supervised learning models are trained on labeled datasets.,Các mô hình học tập có giám sát được đào tạo trên các bộ dữ liệu được dán nhãn.,Các mô hình học có hướng dẫn (Supervised learning) được huấn luyện bằng tập dữ liệu đã có sẵn đáp án chuẩn.
Regularization techniques like L2 weight decay prevent the model from overfitting.,Các kỹ thuật chính quy hóa như phân rã trọng lượng L2 ngăn chặn mô hình khỏi quá khớp.,Các kỹ thuật chống học vẹt (Regularization) như phạt trọng số L2 giúp kìm hãm mô hình không bị quá khớp.
The activation function introduces non-linearity into the network.,Hàm kích hoạt giới thiệu tính phi tuyến tính vào mạng.,Hàm kích hoạt (Activation function) giúp bổ sung tính chất phi tuyến (đường cong) vào mạng nơ-ron để giải được các bài toán phức tạp.
The Softmax function outputs a probability distribution over the target classes.,Hàm Softmax tạo ra một phân phối xác suất trên các lớp mục tiêu.,Hàm Softmax chuyển đổi kết quả đầu ra thành tỷ lệ phần trăm xác suất tương ứng với từng nhóm phân loại.
